成就编号	成就ICON	等级需求	成就名称	成就描述	任务类型	完成条件	金币	银币	活力	体力	经验	掉落	任务链 id	任务链顺序
int	string	int	string	string	int	string	int	int	int	int	int	string	int	int
id	icon	lv	taskname	describe	type	condition	gold	silver	vigour	Stamina	exp	rewards	chainid	chainseq
1	m10001	1	英雄培养1	培养5次英雄	1	5	0	0	0	0	50	20008|1|5	1	1
2	m10001	1	英雄培养2	培养10次英雄	1	10	0	0	0	0	100	20008|1|10	1	2
3	m10001	1	英雄培养3	培养20次英雄	1	20	0	0	0	0	150	20008|1|15	1	3
4	m10001	1	英雄培养4	培养35次英雄	1	35	0	0	0	0	200	20008|1|20	1	4
5	m10001	1	英雄培养5	培养55次英雄	1	55	0	0	0	0	250	20008|1|25	1	5
6	m10001	1	英雄培养6	培养80次英雄	1	80	0	0	0	0	300	20008|1|30	1	6
7	m10001	1	英雄培养7	培养110次英雄	1	110	0	0	0	0	350	20008|1|35	1	7
8	m10001	1	英雄培养8	培养145次英雄	1	145	0	0	0	0	400	20008|1|40	1	8
9	m10001	1	英雄培养9	培养185次英雄	1	185	0	0	0	0	450	20008|1|45	1	9
10	m10001	1	英雄培养10	培养230次英雄	1	230	0	0	0	0	500	20008|1|50	1	10
11	m10001	1	英雄培养11	培养280次英雄	1	280	0	0	0	0	550	20008|1|55	1	11
12	m10001	1	英雄培养12	培养335次英雄	1	335	0	0	0	0	600	20008|1|60	1	12
13	m10001	1	英雄培养13	培养395次英雄	1	395	0	0	0	0	650	20008|1|65	1	13
14	m10001	1	英雄培养14	培养460次英雄	1	460	0	0	0	0	700	20008|1|70	1	14
15	m10001	1	英雄培养15	培养530次英雄	1	530	0	0	0	0	750	20008|1|75	1	15
16	m10001	1	英雄培养16	培养605次英雄	1	605	0	0	0	0	800	20008|1|80	1	16
17	m10001	1	英雄培养17	培养685次英雄	1	685	0	0	0	0	850	20008|1|85	1	17
18	m10001	1	英雄培养18	培养770次英雄	1	770	0	0	0	0	900	20008|1|90	1	18
19	m10001	1	英雄培养19	培养860次英雄	1	860	0	0	0	0	950	20008|1|95	1	19
20	m10001	1	英雄培养20	培养955次英雄	1	955	0	0	0	0	1000	20008|1|100	1	20
21	m10001	1	英雄培养21	培养1055次英雄	1	1055	0	0	0	0	1050	20008|1|105	1	21
22	m10001	1	英雄培养22	培养1160次英雄	1	1160	0	0	0	0	1100	20008|1|110	1	22
23	m10001	1	英雄培养23	培养1270次英雄	1	1270	0	0	0	0	1150	20008|1|115	1	23
24	m10001	1	英雄培养24	培养1385次英雄	1	1385	0	0	0	0	1200	20008|1|120	1	24
25	m10001	1	英雄培养25	培养1505次英雄	1	1505	0	0	0	0	1250	20008|1|125	1	25
26	m10001	1	英雄培养26	培养1630次英雄	1	1630	0	0	0	0	1300	20008|1|130	1	26
