英雄编号	英雄名称	英雄ICON	英雄卡牌图片	英雄模型预制	稀有度	英雄类型	酒馆	阵营	生命	魔法	攻击	护甲	速度	生命成长	魔法成长	攻击成长	护甲成长	速度成长	技能概率修正	命中	闪避	暴击	韧性	穿透	免伤	命中成长	闪避成长	暴击成长	韧性成长	穿透成长	免伤成长	天赋技能	最喜爱的武器	最喜爱的装备	最喜爱的技能	最喜爱的队友	受克制英雄	描述140字以内	近战远程	英雄卡牌图片背景	名字图片	重复抽取时获取英魂数量	大招类型
int	string	string	string	string	int	int	int	int	int	int	int	int	int	float	float	float	float	float	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string	string	string	string	string	string	int	string	string	int	int
id	hname	icon	cardpic	modelprefab	countlevel	htype	tavern	camp	hp	mp	attack	defence	speed	hpgrow	mpgrow	attackgrow	defencegrow	speedgrow	skillmodi	hit	dodge	critattack	defcrit	subdef	avoiddamage	hitgrow	dodgegrow	critattackgrow	defcritgrow	subdefgrow	avoiddamagegrow	talentskill	likedweapon	likedep	likedskill	likedpartner	fearedhero	des	attackdistance	cardpicback	namepic	soulnum	skilltype
10001	蓝猫	10001	card10001	lm	5	1	1	3	684	594	324	226	450	205.2	178.2	97.2	68.04	135	0.2376	20	20	20	20	20	20	0	0	0	0	0	0	0	10027	10022|10051	0	10061|10125	10093|10017	他在战争中是个绝对受欢迎的队友。虽然他的战斗方式不是很正统，但是他可以带着他和他周围的队友，乘着闪电飞到另一个区域，以便发动突袭。	2	cardback10001	lanmao	7	1
10003	精灵龙	10075	card10075	jll	5	1	1	3	672	604	268	181	462	201.6	181.44	80.64	54.432	138.6	0.24192	20	20	20	20	20	20	0	0	0	0	0	0	0	10039	10022	0	10122|10073	10013	身材娇小又调皮捣蛋的它，拥有可以穿过所有敌人的爆炸性法球，又可以以幻术麻痹对方，让无数以貌取人的敌人吃了无尽的苦头。	2	cardback10003	laolu	7	2
10007	炸弹人	10007	card10007	zdr	5	1	2	1	756	540	360	205	450	226.8	162	108	61.56	135	0.216	20	20	20	20	20	20	0	0	0	0	0	0	0	10004	10056|10019	0	10097	10038	善于埋布地雷的他们，可以放置陷阱和肉眼无法识别的遥控炸弹让敌人防不胜防，然后最可怕的是他们能够牺牲自己来毁灭你。	2	cardback10007	zhadanren	7	2
10009	死灵法	10009	card10009	slf	5	1	3	2	792	540	324	216	450	237.6	162	97.2	64.8	135	0.216	20	20	20	20	20	20	0	0	0	0	0	0	0	10004	10051|10023	0	10100	10101|10061	死亡带给他对生命的憎恨，他通过将恶灵送入敌人体内来表达恨意。每终结一个生命的时候，他都无比的满足，也因此变得更加强大。	2	cardback10009	silingfa	7	2
10011	骨法	10011	card10011	gf	5	1	3	2	696	626	278	187	478	208.8	187.92	83.52	56.376	143.55	0.25056	20	20	20	20	20	20	0	0	0	0	0	0	0	10034	10049	0	10104	10093	通过使用死灵魔法来折磨对手的他，从虐待他人中得到了无比满足的快感。所以他将对手送人痛苦的异次元，再以邪恶的力量吸取活人的生命。	2	cardback10011	gufa	7	1
10013	敌法	10013	card10013	df	5	2	1	3	798	399	579	226	529	239.4	119.7	173.88	68.04	158.76	0.1596	20	20	20	20	20	20	0	0	0	0	0	0	0	10010	10023|10022	0	10100|10061	0	他拥有与生俱来的天赋，可以让魔法的能量以最简单的方式出现在你面前，并且控制它来保护自己和伤害敌人。	1	cardback10013	difa	7	1
10014	火枪	10014	card10014	hq	5	2	1	3	826	413	600	234	548	247.95	123.975	180.09	70.47	164.43	0.1653	20	20	20	20	20	20	0	0	0	0	0	0	0	10003	10006|10007	0	10125	0	矮小的身材并不能代表他是个弱者，他的狙击枪不仅能够迅速的打击敌人，可以在超远的距离外给予敌人重创，还可以发射大量的榴弹片攻击敌人。	2	cardback10014	huoqiang	7	2
10017	小黑	10017	card10017	xh	5	2	2	1	826	413	600	234	548	247.95	123.975	180.09	70.47	164.43	0.1653	20	20	20	20	20	20	0	0	0	0	0	0	0	10003	10022	0	10125|10079	10065	作为一名出色的猎手，一次次的向怀疑他的世人证明自己存在的价值。她擅长使用冰冻箭减慢对手的移动，也能使用沉默术阻止法师的魔法。	2	cardback10017	xiaohei	7	1
10020	地卜	10020	card10020	gtr	5	2	2	1	714	441	529	252	529	214.2	132.3	158.76	75.6	158.76	0.1764	20	20	20	20	20	20	0	0	0	0	0	0	0	10039	10045	0	10001	10061|10073	拥有分身术的他，可以同时幻化出三个和自己真身一样的自己。他喜欢将敌人牢牢的困在特殊的网中，然后用锋利的铲子将他们活活的的拍死。	1	cardback10020	goutou	7	2
10021	幽鬼	10021	card10021	yg	5	2	3	2	940	446	592	267	592	282	133.95	177.66	80.37	177.66	0.1786	20	20	20	20	20	20	0	0	0	0	0	0	0	10021	10018|10023	0	10046|10129	10011	死灵与魔鬼的化身，他神出鬼没，完全不受自然法则的约束。他可以利用灵魂的狂怒和怨恨，让自己的生命能量去摧毁敌人。	1	cardback10021	yougui	7	1
10025	神牛	10061	card10061	hdsn	5	3	1	3	1148	348	391	313	348	344.52	104.4	117.45	93.96	104.4	0.1392	20	20	20	20	20	20	0	0	0	0	0	0	0	10011	0	0	10104	10053|10046	为了寻求战斗，以创造新的传奇的他，每次使用魔法都能对大地造成强烈的震动。只用精神的力量就能引导土壤的流向，一时兴起就能制造出深深的沟壑。	1	cardback10025	laoshu	7	2
10027	船长	10027	card10027	cz	5	3	1	3	1159	268	462	317	302	347.76	80.64	138.6	95.256	90.72	0.10752	20	20	20	20	20	20	0	0	0	0	0	0	0	10003	10020	0	0	10001|10100	他可以驾驭和施展洪流的力量，将它们像喷泉一样涌起，将敌人扔向天空。他那华丽的刀锋可以接受大海的庇护，可以通过一种空间魔法把你带回到以前的位置。	1	cardback10027	chuanzhang	7	1
10028	军团	10134	card10134	jt	5	3	1	3	1242	288	495	340	324	372.6	86.4	148.5	102.06	97.2	0.1152	20	20	20	20	20	20	0	0	0	0	0	0	0	10005	10021	0	10061	0	为了证明自己存在的价值，他再一次的拿起那把巨斧与敌人开始了决斗。每当他遭受带攻击的时候，他都能感受到勇气与心的并存，让他获得更多的力量。	1	cardback10028	longqi	7	2
10029	龙骑	10029	card10029	lqs	5	3	2	1	1128	338	517	372	338	338.4	101.52	155.1	111.672	101.52	0.13536	20	20	20	20	20	20	0	0	0	0	0	0	0	10005	10023|10020	0	0	10013	拥有龙族血统的他，是一个异常强壮和攻击力强大的战士，凭借变身为龙的能力，他可以以一人之力面对千军万马的攻击。	1	cardback10029	xiaohei	7	2
10034	骷髅王	10034	card10034	klw	5	3	3	2	1200	278	478	328	313	360.18	83.52	143.55	98.658	93.96	0.11136	20	20	20	20	20	20	0	0	0	0	0	0	0	10001	10045|10023	0	10079	10110	据说他是不死之身，然而被他的战锤击倒的敌人却再也无法站立起来。他能使用强大的魔法使对手瘫痪，他的宝剑能让他和他的手下吸取敌人的血液。	1	cardback10034	langren	7	2
10035	狼人	10035	card10035	lr	5	3	3	2	1242	288	495	340	324	372.6	86.4	148.5	102.06	97.2	0.1152	20	20	20	20	20	20	0	0	0	0	0	0	0	10001	10052|10055	0	10061	0	他能变成一头巨狼，让他的耐力和速度变得更加惊人，他所拥有的狼人血统，不但可以召唤野兽加入他的队伍，更能让他在追杀敌人的时候更加肆无忌惮。	1	cardback10035	xiaolu	7	1
10039	先知	10038	card10038	xz	4	1	1	3	608	528	288	201	400	182.4	158.4	86.4	60.48	120	0.2112	20	20	20	20	20	20	0	0	0	0	0	0	0	10008	10020	0	10073	0	能够轻松使用自然力量的他，是一个非常特别的战士。他可以赋予树灵生命并且让他们帮助自己作战，最让人头疼的就是他可以瞬间传送至任何地点，将敌人打个措手不及。	2	cardback10039	xianzhi	7	2
10045	女王	10045	card10045	nw	4	1	3	2	672	604	268	181	462	201.6	181.44	80.64	54.432	138.6	0.24192	20	20	20	20	20	20	0	0	0	0	0	0	0	10011	10051	0	10089	10017	为了证明自己的能力，她成功的征服了一个魔女，并且占据了他的肉身。使用魔女的妖术折磨敌人，利用女妖嚎叫的声波震破敌人的耳膜。	2	cardback10045	nvwang	7	1
10046	术士	10046	card10046	ss	4	1	3	2	704	480	288	192	400	211.2	144	86.4	57.6	120	0.192	20	20	20	20	20	20	0	0	0	0	0	0	0	10011	10048	0	10045|10118	0	凭借着对召唤恶魔与毁灭术的精通，他可以给予对手致命的链接，然后尽情的折磨敌人，他召唤的恶魔更能将生命如同烛火般捻灭。	2	cardback10046	shushi	7	2
10049	剑圣	10049	card10049	js	4	2	1	3	680	420	504	240	504	204	126	151.2	72	151.2	0.168	20	20	20	20	20	20	0	0	0	0	0	0	0	10010	10020	0	0	10001	剑就是他的生命，追求人间合一的他，无论多强大的敌人也能在弹指间被灰飞烟灭，无论多坚固的护甲也只会被悄然破碎。	1	cardback10049	jiansheng	7	2
10050	白虎	10085	card10085	bh	4	2	1	3	731	365	531	207	485	219.45	109.725	159.39	62.37	145.53	0.1463	20	20	20	20	20	20	0	0	0	0	0	0	0	10026	10045|10022	0	10096	10130	拥有世间最神圣坐骑的她，可以用迅雷不及掩耳的速度靠近敌人，同时召唤坠落的流星消灭对方，也可以在生死关头隐形掩护自己和其他伙伴。	2	cardback10050	shangjin	7	1
10053	赏金	10053	card10053	sj	4	2	2	1	760	380	552	216	504	228	114	165.6	64.8	151.2	0.152	20	20	20	20	20	20	0	0	0	0	0	0	0	10012	10022	0	10077	10053	他的敏捷无人能比，他的隐形能力数一数二，他的双刀无比的锋利，他的飞镖非常的精准，凭借自己的天赋脱颖而出的他，就是个非比寻常的战士。	1	cardback10053	xiaokulou	7	2
10057	小骷髅	10057	card10057	xkl	4	2	3	2	798	399	579	226	529	239.4	119.7	173.88	68.04	158.76	0.1596	20	20	20	20	20	20	0	0	0	0	0	0	0	10027	0	0	10121	10108	为了追求箭术上的完美，他从不介意牺牲他的盟友。凭借着他那迅捷并且精准的箭术，他可以悄然的接近敌人，并且给予敌人致命的伤害。	2	cardback10057	shenniu	7	2
10059	火猫	10096	card10096	hm	4	2	3	2	770	346	508	254	415	231	103.95	152.46	76.23	124.74	0.1386	20	20	20	20	20	20	0	0	0	0	0	0	0	10010	10023|10043	0	0	10001	精灵的附体，让他拥有了闪电般的速度和灼热的利刃，他可以毫不费劲的将敌人撕碎，甚至将敌人的热能和生命一起剥夺，只留下满地灰烬。	1	cardback10059	bainiu	7	2
10061	老树	10025	card10025	ls	4	3	1	3	1058	302	420	347	302	317.52	90.72	126	104.328	90.72	0.12096	20	20	20	20	20	20	0	0	0	0	0	0	0	10021	10045	0	10108|10142	10013|10017	经过数千年的成长，他可以制造蔓藤护甲给予队友充分的保护，还可以借助伟大的森林之力，将濒临危险的队友隐藏起来。	1	cardback10061	siqi	7	2
10065	白牛	10065	card10065	bniu	4	3	2	1	1008	319	441	287	352	302.4	95.76	132.3	86.184	105.84	0.12768	20	20	20	20	20	20	0	0	0	0	0	0	0	10006	0	0	0	10101	拥有着不可思议的速度和幽魂般力量的他，以吞噬游魂为生。凭借着瞬间靠近敌人的能力，对于任何来来说都是一个不容小觑的对手。	1	cardback10065	huonv	7	1
10067	潮汐	10104	card10104	cx	4	3	2	1	970	277	385	318	277	291.06	83.16	115.5	95.634	83.16	0.11088	20	20	20	20	20	20	0	0	0	0	0	0	0	10039	10019	0	10109	10141|10093	没有人知道拥有大海力量的他是如何诞生的，凭借坚硬的外壳，对潮水的完全掌控，以及极具威慑力的攻击，让他成为无可匹敌的强大对手。	1	cardback10067	jinglinglong	7	1
10069	死骑	10069	card10069	dk	4	3	3	2	1056	320	360	288	320	316.8	96	108	86.4	96	0.128	20	20	20	20	20	20	0	0	0	0	0	0	0	10021	10054	0	10038|10118	10086	堕入黑暗的他，变得如魔鬼般疯狂。他不但可以召唤黑暗的能量盾来增强自己的韧性，而且可以在自己将要被毁灭的时候，让自己在黑暗中获得重生。	1	cardback10069	xiaowai	7	1
10073	火女	10073	card10073	hn	3	1	1	3	588	420	280	159	350	176.4	126	84	47.88	105	0.168	20	20	20	20	20	20	0	0	0	0	0	0	0	10011	10054	0	10110|10125	10035	她是一个火元素的大法师，她能够熟练的投掷火球打击对手，也能够运用燃烧的火柱击晕对手，娇弱的身材并没有掩藏住她那极具破坏性的火之奥义魔法。	2	cardback10073	lanpang	7	2
10075	小鹿	10037	card10037	xl	3	1	1	3	532	510	281	150	425	159.84	153.18	84.36	45.288	127.65	0.20424	20	20	20	20	20	20	0	0	0	0	0	0	0	10011	10049	0	10109	10013	为了阻止那些企图杀害她的敌人，她为自己亲手打造了一把长矛，能对越远的敌人造成越大的伤害。同时她也能够控制小精灵，去治疗自己的队友。	2	cardback10075	wuyao	7	2
10077	小歪	10077	card10077	xw	3	1	2	1	588	420	280	159	350	176.4	126	84	47.88	105	0.168	20	20	20	20	20	20	0	0	0	0	0	0	0	10011	10085	0	0	10121|10001	天才般的年轻巫师精通各种巫术的奥义。他可以通过使用闪电打击多个目标，也可以召唤群蛇守卫束缚住敌人，让敌人瞬间没入万劫不复之地。	2	cardback10077	baihu	7	1
10078	双头龙	10113	card10113	stl	3	1	2	1	677	462	277	184	385	203.28	138.6	83.16	55.44	115.5	0.1848	20	20	20	20	20	20	0	0	0	0	0	0	0	10011	10085|10020	0	10134	10053	他是一头很难驯服的危险生物，凭借着他对冰元素和火元素的奇异亲和力，他能够在转眼间毁灭一切阻挡他前进的敌人，并且将敌人冰冻的一条线上。	2	cardback10078	yinci	7	1
10079	蓝胖	10079	card10079	lp	3	1	2	1	651	355	355	177	333	195.36	106.56	106.56	53.28	99.9	0.14208	20	20	20	20	20	20	0	0	0	0	0	0	0	10034	10022	0	10100|10142	10097	他是一个不可或缺的支援型英雄，他能将伤害性和辅助性的法术在一瞬间多次施法，这样使得这些法术有着无比惊人的威力。	1	cardback10079	jumo	7	1
10081	巫妖	10081	card10081	wy	3	1	3	2	562	488	266	186	370	168.72	146.52	79.92	55.944	111	0.19536	20	20	20	20	20	20	0	0	0	0	0	0	0	10011	10078|10085	0	10096	10045	精通寒冰魔法的他，可以任意的操控寒冰气流来保护自己增加护甲，并且将寒气聚集在一个法球上，让它在敌人之中四处跳跃造成极大的杀伤力。	2	cardback10081	xiaoyuren	7	1
10085	隐刺	10086	card10086	yc	3	2	1	3	665	332	483	189	441	199.5	99.75	144.9	56.7	132.3	0.133	20	20	20	20	20	20	0	0	0	0	0	0	0	10015	10047|10085	0	10133|10037	0	通过烟雾的掩护，他可以轻而易举的消灭敌人。他运用身材小巧的优势，能够很好的隐匿自己的行踪，更能从背后发动突袭。	1	cardback10085	xuemo	7	1
10087	巨魔	10088	card10088	jmzj	3	2	1	3	703	351	510	199	466	210.9	105.45	153.18	59.94	139.86	0.1406	20	20	20	20	20	20	0	0	0	0	0	0	0	10007	10054|10018	0	0	0	他那不可阻挡的狂暴力量并不只是个传说，因为他挥舞斧头的速度不但能让对手眩目，并且能让敌人在失明之后，完全没有反抗的能力。	2	cardback10087	huomao	7	2
10089	小鱼人	10089	card10089	xyr	3	2	2	1	731	365	531	207	485	219.45	109.725	159.39	62.37	145.53	0.1463	20	20	20	20	20	20	0	0	0	0	0	0	0	10026	10054|10019	0	10137	0	与黑暗签订契约的他，可以在无法看清东西的黑暗中无形的攻击敌人。他可以释放出一条牢不可破的束带，牢牢的捆住那些企图逃跑的敌人。	1	cardback10089	xiaoxiao	7	1
10091	电魂	10126	card10126	dh	3	2	2	1	735	315	420	241	378	220.5	94.5	126	72.45	113.4	0.126	20	20	20	20	20	20	0	0	0	0	0	0	0	10008	10029	0	10137|10097	10101	他就是闪电的化身，他可以向自己周围的物体释放无穷的电能，更能够精准的控制它的电流不去伤害那些被他称为朋友的人。	2	cardback10091	renma	7	1
10093	血魔	10093	card10093	xm	3	2	3	2	703	351	510	199	466	210.9	105.45	153.18	59.94	139.86	0.1406	20	20	20	20	20	20	0	0	0	0	0	0	0	10021	10049	0	0	0	他是恶魔与兽人的混血儿，他可以在几里之外就能感受到生物血液的流动，随后获得他们的视野，那些被盯上的猎物只能眼睁睁的看着自己被他撕成碎片。	1	cardback10093	quanneng	7	2
10097	小小	10097	card10097	xx	3	3	1	3	976	296	333	266	296	293.04	88.8	99.9	79.92	88.8	0.1184	20	20	20	20	20	20	0	0	0	0	0	0	0	10039	10047|10018	0	10053	0	岩石般坚硬的他能够吸引四周的石头土块，通过投掷大量的泥石造成山崩，也能够将任何东西抛向空中，让那些攻击他的敌人反受其害。	1	cardback10097	fatiao	7	1
10098	半人马	10098	card10098	brm	3	3	1	3	970	277	385	318	277	291.06	83.16	115.5	95.634	83.16	0.11088	20	20	20	20	20	20	0	0	0	0	0	0	0	10039	10049|10054	0	0	10020	拥有着强大体魄的他，就像一座不可摧毁的山一样屹立着，愤怒无情的他挥舞着巨大的战斧，让那些靠近他的敌人纷纷都倒在他的铁蹄下。	1	cardback10098	chaoxi	7	2
10101	发条	10101	card10101	ft	3	3	2	1	888	266	407	293	266	266.4	79.92	122.1	87.912	79.92	0.10656	20	20	20	20	20	20	0	0	0	0	0	0	0	10011	10076|10043	0	10137|10097	0	作为战争时期武器工业的产物，拥有着无可挑剔的超强毁灭力，他能够发射各种各样的飞弹，轻而易举的消灭任何方向的敌人。	1	cardback10101	yemo	7	2
10105	夜魔	10105	card10105	ym	3	3	3	2	843	281	425	239	310	253.08	84.36	127.65	71.928	93.24	0.11248	20	20	20	20	20	20	0	0	0	0	0	0	0	10012	10047|10018	0	10098	0	吸收了月亮精华的他，在夜幕中变得更加强大。他能够在夜间获得无限的视野，同时可以伏击那些他痛恨的敌人，更可以控制时间偷天换日。	1	cardback10105	fuwang	7	1
10107	斧王	10108	card10108	fw	3	3	3	2	970	277	385	318	277	291.06	83.16	115.5	95.634	83.16	0.11088	20	20	20	20	20	20	0	0	0	0	0	0	0	10039	10049|10056	0	10125|10027	10013|10017	他是恶魔与黑暗的化身，手持血斧的他运用迅捷的反应和强大的攻击力，可以残忍的将对手砍成数块，他甚至可以让敌人和他一样对杀戮充满渴望。	1	cardback10107	bingnv	7	2
10109	冰女	10109	card10109	bn	2	1	1	3	536	482	214	144	368	160.8	144.72	64.32	43.416	110.55	0.19296	20	20	20	20	20	20	0	0	0	0	0	0	0	10011	10049	0	10001	0	经过在寒冰泉的常年历练，她已经是一个善于运用冰系魔法的强大魔法师之一。通过运用令人叹为观止的禁制魔法之外，更有着强大的范围冰冻杀伤技能。	2	cardback10109	guangfa	7	1
10110	光法	10110	card10110	guangf	2	1	1	3	588	420	280	159	350	176.4	126	84	47.88	105	0.168	20	20	20	20	20	20	0	0	0	0	0	0	0	10004	10049	0	10061|10027	0	他会使用很多让人印象深刻的辅助性魔法，也可以熟练的利用光的力量在给予队友巨大帮助的同时给予敌人致命的一击。	2	cardback10110	shuangtoulong	7	1
10113	暗牧	10114	card10114	am	2	1	2	1	536	482	214	144	368	160.8	144.72	64.32	43.416	110.55	0.19296	20	20	20	20	20	20	0	0	0	0	0	0	0	10009	10049	0	10020	10093	能够复活死去盟友的他，在战场上绝对不能被轻视。他可以轻易的粉碎敌人的防御，更能增强队友，让他们拥有更加持久的战斗力。	2	cardback10113	anmu	7	1
10114	老鹿	10005	card10005	ll	2	1	2	1	560	504	224	151	385	168	151.2	67.2	45.36	115.5	0.2016	20	20	20	20	20	20	0	0	0	0	0	0	0	10011	10056|10054	0	10073	10134	寄生在痛苦灵魂之中的他，可以在瞬间召唤闪电风暴降落到地面，同时释放超强的魔法将大地撕裂，让每个敌人都沉受着痛苦之中的痛苦。	2	cardback10114	dugou	7	1
10117	毒狗	10117	card10117	dg	2	1	3	2	509	442	241	168	335	152.76	132.66	72.36	50.652	100.5	0.17688	20	20	20	20	20	20	0	0	0	0	0	0	0	10034	10022	0	10027	10061|10075	依靠残存的影子复生的他，在命运的安排下化身成了一只豺狼。他释放邪恶的魔法诅咒来放逐敌人，更释放毒药将每个接近他的敌人杀害。	2	cardback10117	mituan	7	1
10118	谜团	10118	card10118	mt	2	1	3	2	560	504	224	151	385	168	151.2	67.2	45.36	115.5	0.2016	20	20	20	20	20	20	0	0	0	0	0	0	0	10039	10029	0	10038	10011	他可以操作虚空和暗影的力量，通过虚空的力量开启空间传送之门，让他的随从进入这个世界，通过暗影的力量释放黑洞，将所有开进黑洞的敌人吸入深渊。	2	cardback10118	leigou	7	1
10121	直升机	10121	card10121	zsj	2	2	1	3	665	332	483	189	441	199.5	99.75	144.9	56.7	132.3	0.133	20	20	20	20	20	20	0	0	0	0	0	0	0	10008	10018	0	10096	10053|10001	与生俱来的爆破天赋，让他在战场上变得极具可怕。他运用自己的天赋，轻而易举的制造出发动机和飞弹，并将他的发明带到战场上使用。	2	cardback10121	zhishengji	7	2
10122	电狗	10122	card10122	lg	2	2	1	3	703	335	402	190	402	211.05	100.5	120.6	57.285	120.6	0.134	20	20	20	20	20	20	0	0	0	0	0	0	0	10034	10056|10052	0	0	10049	他是一个最值得信任的先知，为了驱散混乱的邪恶势力。他完美的复制了自我，并且给自己灌注了闪电和磁场的力量，去迎接即将到来的战争。	2	cardback10122	fuchou	7	1
10125	复仇	10125	card10125	fc	2	2	2	1	700	332	441	199	441	210	99.75	132.3	59.85	132.3	0.133	20	20	20	20	20	20	0	0	0	0	0	0	0	10012	10018|10047	0	10009	10020|10049	她的躯体已经死亡，但是她复仇的灵魂却留了下来，通过灵界的力量，她能够使用无情的能量球击晕对手，同时也能和对手交换位置。	2	cardback10125	diangun	7	1
10129	剧毒	10129	card10129	jd	2	2	3	2	770	268	442	211	361	231.15	80.4	132.66	63.315	108.54	0.1072	20	20	20	20	20	20	0	0	0	0	0	0	0	10031	10018	0	0	0	各种毒药和化学物质扭曲了他的灵魂，畸化了他的身体,使他可以使用浓缩的毒药攻击敌人，甚至可以放出充满整个空间的毒气削弱周围任何的生物。	2	cardback10129	judu	7	2
10130	蜘蛛	10130	card10130	zz	2	2	3	2	805	280	462	220	378	241.5	84	138.6	66.15	113.4	0.112	20	20	20	20	20	20	0	0	0	0	0	0	0	10027	10022|10029	0	10038|10118	10061	她对战斗的渴望，支撑着她并使她变得更加强大。她是一个织网高手，她能够使任何攻击她的对手麻痹无力，还会把卵产入牺牲品的体内，让那些幼虫破体而出。	1	cardback10130	zhizhu	7	1
10133	小精灵	10133	card10133	xjl	2	3	1	3	804	254	351	229	281	241.2	76.38	105.525	68.742	84.42	0.10184	20	20	20	20	20	20	0	0	0	0	0	0	0	10004	10051|10049	0	0	10134	一个用脆弱身躯证明自己并不是一个无能的弱者。他可以召唤多个幽光之魂，让每个魂体对靠近他的敌人进行反击。同时运用闪电赐予他的能量，保护着身边的每个人。	2	cardback10133	xiaojingling	7	1
